Product_SMILES	reaction_name	SMILES_1	Mol_ID_1	SMILES_2	Mol_ID_2	SMILES_3	Mol_ID_3
O=C(O)c1ccnc(N(Cc2ccc(Br)s2)C(=O)Nc2ccc(SC(F)F)cc2)c1	urea-2	Nc1ccc(SC(F)F)cc1	mol_ID_151	O=C(O)c1ccnc(NCc2ccc(Br)s2)c1	carboxylates_aryl_38740203	No_3rd_Reactant	No_3rd_Reactant
CCCC(CC)Nc1nc(N2C=C(Cn3cccn3)N=N2)c(C(=O)OC)s1	123-triazole-1	C#CCn1cccn1	mol_ID_55	CCCC(CC)Nc1nc(Cl)c(C(=O)OC)s1	esters_38741562	No_3rd_Reactant	No_3rd_Reactant
COc1cc(Cl)c(Nc2nccs2)c(C(=O)O)c1	amination-1	Brc1nccs1	mol_ID_43	COc1cc(Cl)c(N)c(C(=O)O)c1	anilines_2COOH_38746315	No_3rd_Reactant	No_3rd_Reactant
CC(NCC1CCCC1)C1=NN(Cc2nc3ccccc3n2C)N=N1	mitsunobu-3	Cn1c(CO)nc2ccccc21	mol_ID_162	CC(NCC1CCCC1)c1nn[nH]n1	tetrazoles_2H_38766107	No_3rd_Reactant	No_3rd_Reactant
N#CC(OC(=O)N1CCN(C(=O)c2ccccc2F)CC1)C1CCCC1	carbamate-2	O=C(c1ccccc1F)N1CCNCC1	mol_ID_165	N#CC(O)C1CCCC1	cyanohydrins_38766671	No_3rd_Reactant	No_3rd_Reactant
CC(NS(=O)(=O)c1ccc(Nc2cnccn2)c(Br)c1)C(N)=O	goldberg-1	Clc1cnccn1	mol_ID_23	CC(NS(=O)(=O)c1ccc(N)c(Br)c1)C(N)=O	anilines_2I_38758245	No_3rd_Reactant	No_3rd_Reactant
Nc1cc(NC(=O)N2c3ccccc3C(=O)NC23CCCC3)nc(SCc2ccnc(Cl)c2)n1	urea-2	O=C1NC2(CCCC2)Nc2ccccc21	mol_ID_214	Nc1cc(N)nc(SCc2ccnc(Cl)c2)n1	anilines_2H_38742200	No_3rd_Reactant	No_3rd_Reactant
O=C(CN1CCCC(Nc2ncco2)C1)c1ccc(Br)cc1	amination-1	Ic1ncco1	mol_ID_26	NC1CCCN(CC(=O)c2ccc(Br)cc2)C1	amines_prim_38737522	No_3rd_Reactant	No_3rd_Reactant
Nc1cc(N)nc(SCc2ccnc(-c3ccccn3)c2)n1	negishi	Brc1ccccn1	mol_ID_2	Nc1cc(N)nc(SCc2ccnc(Cl)c2)n1	anilines_2H_38742200	No_3rd_Reactant	No_3rd_Reactant
C=CC(=C)CC(c1ccccc1)N(C)C(=O)c1cc2c(s1)CC[C@H](C)C2	amide_coupling-1	C[C@H]1CCc2sc(C(=O)O)cc2C1	mol_ID_215	C=CC(=C)CC(NC)c1ccccc1	dienes_unsubstituted_2568004	No_3rd_Reactant	No_3rd_Reactant
CCc1nccn1CNC(=O)N(Cc1ccc(Br)s1)c1cc(C(=O)O)ccn1	curtius-1	CCc1nccn1CC(=O)O	mol_ID_231	O=C(O)c1ccnc(NCc2ccc(Br)s2)c1	carboxylates_aryl_38740203	No_3rd_Reactant	No_3rd_Reactant
CNC(=O)c1ccc(NC(=O)N2CCCc3ncccc32)c(N)c1	urea-2	c1cnc2c(c1)NCCC2	mol_ID_200	CNC(=O)c1ccc(N)c(N)c1	anilines_2NH2_38758217	No_3rd_Reactant	No_3rd_Reactant
COc1cc(Cl)c(N)c(C(=O)CC(=O)c2ccc3c(c2)CCCN3)c1	claisen-3	CC(=O)c1ccc2c(c1)CCCN2	mol_ID_172	COC(=O)c1cc(OC)cc(Cl)c1N	benzoates_2amino_38746317	No_3rd_Reactant	No_3rd_Reactant
NCC(CNC(=O)N1CCN(c2ccnc3ccccc23)CC1)c1ccccc1	urea-2	c1ccc2c(N3CCNCC3)ccnc2c1	mol_ID_174	NCC(CN)c1ccccc1	amines_arylethyl_38769107	No_3rd_Reactant	No_3rd_Reactant
Cc1ccc(C(=O)CCC(=O)CCC2=NNC(c3cn(C)c[n+]3C)=N2)cc1	124-triazole-3	Cn1cc(C#N)[n+](C)c1	mol_ID_118	Cc1ccc(C(=O)CCC(=O)CCC(=O)O)cc1	ketones_4keto_1468830	No_3rd_Reactant	No_3rd_Reactant
Cc1ccc(CN(C(=O)N2CCC[C@H](c3nc4ccccc4o3)C2)c2nnc(S)s2)s1	urea-2	c1ccc2oc([C@H]3CCCNC3)nc2c1	mol_ID_197	Cc1ccc(CNc2nnc(S)s2)s1	thiols_38757967	No_3rd_Reactant	No_3rd_Reactant
COCCNS(=O)(=O)c1ccc(Nc2c[n+](C)ccn2)c(Br)c1	amination-1	C[n+]1ccnc(I)c1	mol_ID_98	COCCNS(=O)(=O)c1ccc(N)c(Br)c1	anilines_2I_38758243	No_3rd_Reactant	No_3rd_Reactant
C[C@H]1CCc2sc(NC(=O)Nc3ncc(C=O)c(N)n3)cc2C1	curtius-1	C[C@H]1CCc2sc(C(=O)O)cc2C1	mol_ID_215	Nc1ncc(C=O)c(N)n1	anilines_2formyl_1882384	No_3rd_Reactant	No_3rd_Reactant
O=C(Nc1ccc(SC(F)F)cc1)OCCNC(=O)c1ccc(C(=O)C(=O)c2ccccc2)cc1	carbamate-2	Nc1ccc(SC(F)F)cc1	mol_ID_151	O=C(NCCO)c1ccc(C(=O)C(=O)c2ccccc2)cc1	diketones_diaryl_1945130	No_3rd_Reactant	No_3rd_Reactant
CCCC(CC)N(c1ccc(C(=O)OC)nn1)c1ncc[nH]1	amination-1	Brc1ncc[nH]1	mol_ID_8	CCCC(CC)Nc1ccc(C(=O)OC)nn1	esters_non_enolizable_38741576	No_3rd_Reactant	No_3rd_Reactant
Nc1nc(NC2CCN(c3ccccn3)CC2)ncc1C=O	amination-2	O=C1CCN(c2ccccn2)CC1	mol_ID_210	Nc1ncc(C=O)c(N)n1	anilines_2formyl_1882384	No_3rd_Reactant	No_3rd_Reactant
CCCC(CC)Nc1c(NC(=O)N2CCN(c3ccccc3OC)CC2)n(C)c(=O)[nH]c1=O	urea-2	COc1ccccc1N1CCNCC1	mol_ID_220	CCCC(CC)Nc1c(N)n(C)c(=O)[nH]c1=O	anilines_prim_38741610	No_3rd_Reactant	No_3rd_Reactant
CC(=O)c1cc(N2C=C(Cn3cc[n+](C)c3)N=N2)cc(CN(C)CCO)c1O	123-triazole-1	C#CCn1cc[n+](C)c1	mol_ID_128	CC(=O)c1cc(Cl)cc(CN(C)CCO)c1O	acetophenones_2OH_38736410	No_3rd_Reactant	No_3rd_Reactant
Nc1ncc(C=O)c(NC(=O)N2CCC[C@H](Cc3ccc(F)cc3)C2)n1	urea-2	Fc1ccc(C[C@H]2CCCNC2)cc1	mol_ID_234	Nc1ncc(C=O)c(N)n1	anilines_2formyl_1882384	No_3rd_Reactant	No_3rd_Reactant
O=C(CN1CCNCC1)c1cc(-c2ccccc2C(=O)CN2CCCC2)ccc1Cl	negishi	O=C(CN1CCCC1)c1ccccc1Cl	mol_ID_223	O=C(CN1CCNCC1)c1cc(Cl)ccc1Cl	amines_primsec_38736908	No_3rd_Reactant	No_3rd_Reactant
O=Cc1c(NC(CN2CCCC2)c2ccccc2Cl)[nH]c(=O)[nH]c1=O	amination-2	O=C(CN1CCCC1)c1ccccc1Cl	mol_ID_223	Nc1[nH]c(=O)[nH]c(=O)c1C=O	anilines_2formyl_1522686	No_3rd_Reactant	No_3rd_Reactant
Nc1nc(Nc2nccs2)ncc1C=O	amination-1	Brc1nccs1	mol_ID_43	Nc1ncc(C=O)c(N)n1	anilines_2formyl_1882384	No_3rd_Reactant	No_3rd_Reactant
O=C(CN1CCN(C(=O)N2CCN(c3ccccc3)C(=O)C2)CC1)c1cc(Cl)ccc1Cl	urea-2	O=C1CNCCN1c1ccccc1	mol_ID_157	O=C(CN1CCNCC1)c1cc(Cl)ccc1Cl	amines_primsec_38736908	No_3rd_Reactant	No_3rd_Reactant
Cc1ccc(Cn2ccnc2Sc2c[n+](C)ccn2)s1	thioether-2	C[n+]1ccnc(I)c1	mol_ID_98	Cc1ccc(Cn2ccnc2S)s1	thiols_38757965	No_3rd_Reactant	No_3rd_Reactant
CCCC(CC)Nc1c(NC(=O)N2c3ccccc3C(=O)NC23CCCC3)n(C)c(=O)[nH]c1=O	urea-2	O=C1NC2(CCCC2)Nc2ccccc21	mol_ID_214	CCCC(CC)Nc1c(N)n(C)c(=O)[nH]c1=O	anilines_prim_38741610	No_3rd_Reactant	No_3rd_Reactant
CCCC(CC)n1c(Sc2occ[n+]2C)nc2ccsc2c1=O	thioether-2	C[n+]1ccoc1I	mol_ID_119	CCCC(CC)n1c(S)nc2ccsc2c1=O	thiophenols_38787976	No_3rd_Reactant	No_3rd_Reactant
COC(=O)c1cc(OC)cc(Cl)c1Nc1nc(-c2ccccc2)co1	amination-1	Ic1nc(-c2ccccc2)co1	mol_ID_92	COC(=O)c1cc(OC)cc(Cl)c1N	benzoates_2amino_38746317	No_3rd_Reactant	No_3rd_Reactant
C#CC(=O)NC(C)C1CCCN(c2c[n+](C)cs2)C1	amination-1	C[n+]1csc(Br)c1	mol_ID_130	C#CC(=O)NC(C)C1CCCNC1	alkynes_monosub_38741014	No_3rd_Reactant	No_3rd_Reactant
CN1CCCc2cc(C(C#N)OC(=O)N3c4ccccc4C(=O)NC34CCCC4)ccc21	carbamate-2	O=C1NC2(CCCC2)Nc2ccccc21	mol_ID_214	CN1CCCc2cc(C(O)C#N)ccc21	cyanohydrins_38769468	No_3rd_Reactant	No_3rd_Reactant
C=C/C=C/CCC1=NC(CCN2CCc3ccccc32)=NO1	oxadiazole-1	N#CCCN1CCc2ccccc21	mol_ID_177	C=C/C=C/CCC(=O)O	dienes_1_substituted_2795240	No_3rd_Reactant	No_3rd_Reactant
COc1cc(Cl)c(NC(=O)Nc2ccc(CN3CCOCC3)cc2)c(C(=O)O)c1	curtius-1	O=C(O)c1ccc(CN2CCOCC2)cc1	mol_ID_155	COc1cc(Cl)c(N)c(C(=O)O)c1	anilines_2COOH_38746315	No_3rd_Reactant	No_3rd_Reactant
O=C(c1nc(-c2ccccc2)co1)c1cccc2[nH]ccc12	stille-2	Ic1nc(-c2ccccc2)co1	mol_ID_92	CCCC[Sn](CCCC)(CCCC)c1cccc2[nH]ccc12	organostannanes_48198397	No_3rd_Reactant	No_3rd_Reactant
Cc1ccc(Cn2ccnc2Sc2nc3ccccc3s2)s1	thioether-2	Clc1nc2ccccc2s1	mol_ID_35	Cc1ccc(Cn2ccnc2S)s1	thiols_38757965	No_3rd_Reactant	No_3rd_Reactant
CNC(=O)c1ccc(N)c(NC(=O)NCc2ccnc(N(C)C)c2)c1	urea-2	CN(C)c1cc(CN)ccn1	mol_ID_170	CNC(=O)c1ccc(N)c(N)c1	anilines_2NH2_38758217	No_3rd_Reactant	No_3rd_Reactant
c1ccc2oc(N(Cc3nnn[nH]3)CC3CCCC3)nc2c1	amination-1	Clc1nc2ccccc2o1	mol_ID_87	C1CCC(CNCc2nnn[nH]2)C1	tetrazoles_1H_38766109	No_3rd_Reactant	No_3rd_Reactant
CSc1ccc([C@H](C)NC(=O)N2CCN(C(=O)c3ccncc3)CC2)cc1Br	urea-2	O=C(c1ccncc1)N1CCNCC1	mol_ID_236	CSc1ccc([C@H](C)N)cc1Br	thianisoles_2I_39787666	No_3rd_Reactant	No_3rd_Reactant
COC(=O)CCn1ccc2ccc(N3N=NC=C3Cn3cccn3)cc21	123-triazole-3	C#CCn1cccn1	mol_ID_55	COC(=O)CCn1ccc2ccc(Br)cc21	esters_enolizable_38742592	No_3rd_Reactant	No_3rd_Reactant
C[n+]1csc(C#CCNC(c2ccccc2)C(F)(F)F)c1	castro-stephens-2	C[n+]1csc(Br)c1	mol_ID_130	C#CCNC(c1ccccc1)C(F)(F)F	alkynes_monosub_38741698	No_3rd_Reactant	No_3rd_Reactant
Nc1c(Cl)ncnc1Sc1cnccn1	thioether-2	Clc1cnccn1	mol_ID_23	Nc1c(S)ncnc1Cl	anilines_2SH_39544389	No_3rd_Reactant	No_3rd_Reactant
C#CC(=O)NC(C)C1CCCN(C(=O)NCc2ccnc(N(C)C)c2)C1	urea-2	CN(C)c1cc(CN)ccn1	mol_ID_170	C#CC(=O)NC(C)C1CCCNC1	alkynes_monosub_38741014	No_3rd_Reactant	No_3rd_Reactant
NCCc1ccc(OCCNc2cn[nH]c2)cc1	amination-1	Clc1cn[nH]c1	mol_ID_9	NCCOc1ccc(CCN)cc1	amines_arylethyl_38769087	No_3rd_Reactant	No_3rd_Reactant
CN(C)c1ccc(C(=O)c2ccccc2C2=NC(c3ccncn3)=NO2)c(O)c1	oxadiazole-1	N#Cc1ccncn1	mol_ID_28	CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1	benzoicacids_2acyl_1469396	No_3rd_Reactant	No_3rd_Reactant
NCCc1ccc(OCCNC(=O)N2CCCc3ncccc32)cc1	urea-2	c1cnc2c(c1)NCCC2	mol_ID_200	NCCOc1ccc(CCN)cc1	amines_arylethyl_38769087	No_3rd_Reactant	No_3rd_Reactant
COC(=O)c1cc(OC)cc(N2C=C(c3c(C)noc3C)N=N2)c1N	123-triazole-1	C#Cc1c(C)noc1C	mol_ID_11	COC(=O)c1cc(OC)cc(Cl)c1N	benzoates_2amino_38746317	No_3rd_Reactant	No_3rd_Reactant
CC(NS(=O)(=O)c1ccc(Nc2n(C)cc[n+]2C)c(Br)c1)C(N)=O	amination-1	Cn1cc[n+](C)c1Br	mol_ID_80	CC(NS(=O)(=O)c1ccc(N)c(Br)c1)C(N)=O	anilines_2I_38758245	No_3rd_Reactant	No_3rd_Reactant
CCc1nccn1CNC(=O)N(Cc1nnn[nH]1)CC1CCCC1	curtius-1	CCc1nccn1CC(=O)O	mol_ID_231	C1CCC(CNCc2nnn[nH]2)C1	tetrazoles_1H_38766109	No_3rd_Reactant	No_3rd_Reactant
CC(=O)CCN1CCN(C(=O)N2CCN(c3ccnc4ccccc34)CC2)CC1	urea-2	c1ccc2c(N3CCNCC3)ccnc2c1	mol_ID_174	CC(=O)CCN1CCNCC1	amines_primsec_38736906	No_3rd_Reactant	No_3rd_Reactant
Cc1nccn1Cc1cccc(C2=NN=NN2CC(=O)CC23CC4CC(CC(C4)C2)C3)c1	tetrazole-2	Cc1nccn1Cc1cccc(C#N)c1	mol_ID_209	O=C(CCl)CC12CC3CC(CC(C3)C1)C2	ketones_2halo_aliphatic_1536085	No_3rd_Reactant	No_3rd_Reactant
CCc1nccn1CNC(=O)N(Cc1ccc(C)s1)c1nnc(S)s1	curtius-1	CCc1nccn1CC(=O)O	mol_ID_231	Cc1ccc(CNc2nnc(S)s2)s1	thiols_38757967	No_3rd_Reactant	No_3rd_Reactant
O=C(c1ncc[nH]1)c1cncs1	stille-2	Brc1ncc[nH]1	mol_ID_8	CCCC[Sn](CCCC)(CCCC)c1cncs1	organostannanes_48197887	No_3rd_Reactant	No_3rd_Reactant
CNC(=O)c1ccc(NC(=O)Nc2nc3ccccc3cc2C)c(O)c1	urea-2	Cc1cc2ccccc2nc1N	mol_ID_148	CNC(=O)c1ccc(N)c(O)c1	anilines_2OH_38758233	No_3rd_Reactant	No_3rd_Reactant
Cn1cc(-c2cc(I)c(O)c(C=O)c2)c[n+]1C	negishi	Cn1cc(I)c[n+]1C	mol_ID_79	O=Cc1cc(Br)cc(I)c1O	phenols_2I_1610737	No_3rd_Reactant	No_3rd_Reactant
CC(C)CCCNc1cc(C2=NNC([C@H]3CCS(=O)(=O)C3)=N2)ccn1	124-triazole-3	N#C[C@H]1CCS(=O)(=O)C1	mol_ID_161	CC(C)CCCNc1cc(C(=O)O)ccn1	carboxylates_aryl_38740205	No_3rd_Reactant	No_3rd_Reactant
CCNC(=O)c1ccc(NC(=O)N2CCC[C@H](Cc3ccc(F)cc3)C2)c(O)c1	urea-2	Fc1ccc(C[C@H]2CCCNC2)cc1	mol_ID_234	CCNC(=O)c1ccc(N)c(O)c1	anilines_2OH_38758231	No_3rd_Reactant	No_3rd_Reactant
CN1CCCc2cc(C(C#N)OC(=O)N[C@H]3CCc4ccccc43)ccc21	carbamate-2	N[C@H]1CCc2ccccc21	mol_ID_147	CN1CCCc2cc(C(O)C#N)ccc21	cyanohydrins_38769468	No_3rd_Reactant	No_3rd_Reactant
C[n+]1ccsc1C1=NOC(CNC(=O)c2sccc2Br)=N1	oxadiazole-1	C[n+]1ccsc1C#N	mol_ID_129	O=C(O)CNC(=O)c1sccc1Br	glycines_N_acyl_38740375	No_3rd_Reactant	No_3rd_Reactant
Cc1cc(CN(C(C)c2nn[nH]n2)C(CN2CCNCC2)c2ccccc2)ccc1F	amination-2	O=C(CN1CCNCC1)c1ccccc1	mol_ID_184	Cc1cc(CNC(C)c2nn[nH]n2)ccc1F	tetrazoles_2H_38810482	No_3rd_Reactant	No_3rd_Reactant
CCOC(=O)c1cc(OC)cc(-c2nc(-c3ccccc3)co2)c1N	negishi	Ic1nc(-c2ccccc2)co1	mol_ID_92	CCOC(=O)c1cc(OC)cc(Cl)c1N	benzoates_2amino_38746319	No_3rd_Reactant	No_3rd_Reactant
CCCC(CC)N(C(=O)NCC1(c2ccccc2)CCOCC1)c1nc(Cl)c(C(=O)OC)s1	urea-2	NCC1(c2ccccc2)CCOCC1	mol_ID_237	CCCC(CC)Nc1nc(Cl)c(C(=O)OC)s1	esters_38741562	No_3rd_Reactant	No_3rd_Reactant
Nc1cc(N)nc(SCc2ccnc(-c3cn[nH]c3)c2)n1	negishi	Clc1cn[nH]c1	mol_ID_9	Nc1cc(N)nc(SCc2ccnc(Cl)c2)n1	anilines_2H_38742200	No_3rd_Reactant	No_3rd_Reactant
C#CC(=O)NC(C)C1CCCN(C(=O)Nc2cc(C)on2)C1	urea-2	Cc1cc(N)no1	mol_ID_226	C#CC(=O)NC(C)C1CCCNC1	alkynes_monosub_38741014	No_3rd_Reactant	No_3rd_Reactant
Cc1ccc(CN(c2nnc(S)s2)C2CCN(c3ccncc3)CC2)s1	amination-2	O=C1CCN(c2ccncc2)CC1	mol_ID_202	Cc1ccc(CNc2nnc(S)s2)s1	thiols_38757967	No_3rd_Reactant	No_3rd_Reactant
CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)c(OCc2nc3ccccc3n2C)c1	mitsunobu-1	Cn1c(CO)nc2ccccc21	mol_ID_162	CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1	benzoicacids_2acyl_1469396	No_3rd_Reactant	No_3rd_Reactant
CCNC(=O)c1ccc(N)c(Nc2cncnc2)c1	amination-1	Clc1cncnc1	mol_ID_6	CCNC(=O)c1ccc(N)c(N)c1	anilines_2NH2_38758033	No_3rd_Reactant	No_3rd_Reactant
C[n+]1csc(Nc2ncc(C=O)c(N)n2)c1	amination-1	C[n+]1csc(Br)c1	mol_ID_130	Nc1ncc(C=O)c(N)n1	anilines_2formyl_1882384	No_3rd_Reactant	No_3rd_Reactant
Cc1cc(NC(=O)Oc2c(I)cc(Br)cc2C=O)no1	carbamate-2	Cc1cc(N)no1	mol_ID_226	O=Cc1cc(Br)cc(I)c1O	phenols_2I_1610737	No_3rd_Reactant	No_3rd_Reactant
CC(Oc1cccc(-c2ccc(N3C(=O)NC(=O)[C@@H]3C)cc2)c1)C(=O)Cl	negishi	C[C@H]1C(=O)NC(=O)N1c1ccc(Cl)cc1	mol_ID_168	CC(Oc1cccc(Cl)c1)C(=O)Cl	acid_chlorides_38870835	No_3rd_Reactant	No_3rd_Reactant
CCc1nccn1CC(=O)N(Cc1ccc(Br)s1)c1cc(C(=O)O)ccn1	amide_coupling-1	CCc1nccn1CC(=O)O	mol_ID_231	O=C(O)c1ccnc(NCc2ccc(Br)s2)c1	carboxylates_aryl_38740203	No_3rd_Reactant	No_3rd_Reactant
Cc1cc(NC(=O)Nc2cc(C#N)cc(I)c2O)no1	urea-2	Cc1cc(N)no1	mol_ID_226	N#Cc1cc(N)c(O)c(I)c1	phenols_2I_38766912	No_3rd_Reactant	No_3rd_Reactant
C=CC(=C)CC(c1ccccc1)N(C)C(=O)c1cnc(-c2ccccc2)s1	amide_coupling-1	O=C(O)c1cnc(-c2ccccc2)s1	mol_ID_169	C=CC(=C)CC(NC)c1ccccc1	dienes_unsubstituted_2568004	No_3rd_Reactant	No_3rd_Reactant
Cc1o[n+](C)c(C)c1-c1ccsc1C(=O)CN(C)CCC#N	negishi	Cc1o[n+](C)c(C)c1I	mol_ID_127	CN(CCC#N)CC(=O)c1sccc1Br	halides_aryl_38735494	No_3rd_Reactant	No_3rd_Reactant
C[C@H]1CCc2sc(C(=O)N(Cc3nnn[nH]3)CC3CCCC3)cc2C1	amide_coupling-1	C[C@H]1CCc2sc(C(=O)O)cc2C1	mol_ID_215	C1CCC(CNCc2nnn[nH]2)C1	tetrazoles_1H_38766109	No_3rd_Reactant	No_3rd_Reactant
CCCC(CC)N(C(=O)N1CCN(c2ccccc2OC)CC1)c1ccc(C(=O)OC)nn1	urea-2	COc1ccccc1N1CCNCC1	mol_ID_220	CCCC(CC)Nc1ccc(C(=O)OC)nn1	esters_non_enolizable_38741576	No_3rd_Reactant	No_3rd_Reactant
Cc1ccc(Cn2ccnc2Sc2cn(C)[n+](C)c2)s1	thioether-2	Cn1cc(I)c[n+]1C	mol_ID_79	Cc1ccc(Cn2ccnc2S)s1	thiols_38757965	No_3rd_Reactant	No_3rd_Reactant
CC(Br)C(=O)c1c[nH]c2cc(N3N=NC=C3Cn3ccc[n+]3C)ccc12	123-triazole-3	C#CCn1ccc[n+]1C	mol_ID_144	CC(Br)C(=O)c1c[nH]c2cc(Br)ccc12	ketones_2halo_38742530	No_3rd_Reactant	No_3rd_Reactant
CC(OC(=O)N1CCC(c2c[nH]c3cc(F)ccc23)CC1)C(=O)c1ccc(F)cc1	carbamate-2	Fc1ccc2c(C3CCNCC3)c[nH]c2c1	mol_ID_240	CC(O)C(=O)c1ccc(F)cc1	ketones_20H_38739719	No_3rd_Reactant	No_3rd_Reactant
