Target_Name	Hit_SMILES	Molecule_ID	INCHIKEY	RMSD
3UP7_0C9_A_1	c1ccc2oc([C@H]3CCCNC3)nc2c1	mol_ID_197	MNJITFGKRQIUJN-VIFPVBQESA-N	0.99
3UP7_0C9_A_1	Oc1ccccc1N1CCCCC1	mol_ID_199	OXELIFPFCCGAJX-UHFFFAOYSA-N	0.83
3UP7_0C9_A_1	CS(=O)(=O)c1ccc(OC(F)(F)F)cc1	mol_ID_205	FNXVEILQGNGZNE-UHFFFAOYSA-N	1.09
3UP7_0C9_A_1	CC(=O)c1ccc2c(c1)CNCC2	mol_ID_206	KKJBHMRJVQULAV-UHFFFAOYSA-N	1.07
3UP7_0C9_A_1	COc1ccccc1CC1CCNCC1	mol_ID_213	YIZXPHILNOGRDP-UHFFFAOYSA-N	1.01
3UP7_0C9_A_1	O=C1NC2(CCCC2)Nc2ccccc21	mol_ID_214	BGYVTOPASJGSEB-UHFFFAOYSA-N	0.70
3UP7_0C9_A_1	O=C(c1ccccc1)N1CCC(CO)CC1	mol_ID_219	RLTIVBMLQJFUOB-UHFFFAOYSA-N	1.08
3UP7_0C9_A_1	COc1ccccc1N1CCNCC1	mol_ID_220	VNZLQLYBRIOLFZ-UHFFFAOYSA-N	1.09
3UP7_0C9_A_1	O=C(CN1CCCC1)c1ccccc1Cl	mol_ID_223	BDGKBEOKGJRBPL-UHFFFAOYSA-N	0.52
3UP7_0C9_A_1	O=C1CSC(Nc2ccc(F)cc2)=N1	mol_ID_224	ABBIJUYBGHHPFV-UHFFFAOYSA-N	0.54
3UP7_0C9_A_1	COc1ccccc1C1CCNCC1	mol_ID_225	SRAVSVBVHDLLPO-UHFFFAOYSA-N	1.06
3UP7_0C9_A_1	Cc1cc(N)no1	mol_ID_226	FKPXGNGUVSHWQQ-UHFFFAOYSA-N	1.07
3UP7_0C9_A_1	COc1ccc(CN2CCNCC2)cc1F	mol_ID_228	DOHKJEHZIZZYLD-UHFFFAOYSA-N	0.92
3UP7_0C9_A_1	Cc1cnc(C(F)(F)F)cn1	mol_ID_233	XZOKPWSKJRCLQO-UHFFFAOYSA-N	0.60
3UP7_0C9_A_1	Fc1ccc(C[C@H]2CCCNC2)cc1	mol_ID_234	WATWKPHWUDHKGA-LLVKDONJSA-N	0.82
3UP7_0C9_A_1	O=C(c1ccncc1)N1CCNCC1	mol_ID_236	YLYAETTZHAUHNX-UHFFFAOYSA-N	1.08
