smiles	MOL_ID	INCHI_Key	MWT	nHeavy	nHBA	nHBD	nRB	Fsp3	nChiC	nRings	nArRings	TPSA	Halogen	logP	logD	QED	SFI	SAScore
Brc1cncnc1	mol_ID_22	GYCPLYCTMDTEPU-UHFFFAOYSA-N	157.95	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.24	0.50	0.57	1.50	2.39
Clc1cnccn1	mol_ID_23	GELVZYOEQVJIRR-UHFFFAOYSA-N	114.00	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.13	0.39	0.51	1.39	2.33
Ic1ncc[nH]1	mol_ID_24	MHHDMDLNVVCTAJ-UHFFFAOYSA-N	193.93	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.01	0.27	0.61	1.27	3.74
Brc1ccn[nH]1	mol_ID_25	XHZWFUVEKDDQPF-UHFFFAOYSA-N	145.95	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.17	0.43	0.59	1.43	3.50
Ic1ncco1	mol_ID_26	QIXCSHIEHGEJGB-UHFFFAOYSA-N	194.92	6.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	26.03	1.00	1.28	0.54	0.58	1.54	3.81
C#Cc1cccnc1	mol_ID_27	CLRPXACRDTXENY-UHFFFAOYSA-N	103.04	8.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	0.00	1.06	0.32	0.45	1.32	2.41
N#Cc1ccncn1	mol_ID_28	ZIEWSZYVEDTXGH-UHFFFAOYSA-N	105.03	8.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00	49.57	0.00	0.35	-0.39	0.48	0.61	2.70
C=Cc1cnccn1	mol_ID_29	KANZWHBYRHQMKZ-UHFFFAOYSA-N	106.05	8.00	2.00	0.00	1.00	0.00	0.00	1.00	1.00	25.78	0.00	1.12	0.38	0.54	1.38	2.79
Ic1ncccn1	mol_ID_30	AXDGIPMYJALRKV-UHFFFAOYSA-N	205.93	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.08	0.34	0.47	1.34	3.00
Brc1cnccn1	mol_ID_31	WGFCNCNTGOFBBF-UHFFFAOYSA-N	157.95	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.24	0.50	0.57	1.50	2.58
Ic1c[nH]cn1	mol_ID_32	BHCMXJKPZOPRNN-UHFFFAOYSA-N	193.93	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.01	0.27	0.61	1.27	4.04
Ic1cn[nH]c1	mol_ID_33	LLNQWPTUJJYTTE-UHFFFAOYSA-N	193.93	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.01	0.27	0.61	1.27	3.71
N#Cc1ncco1	mol_ID_34	UUAXDPHPSHEGQQ-UHFFFAOYSA-N	94.02	7.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00	49.82	0.00	0.55	-0.19	0.47	0.81	3.55
Clc1nc2ccccc2s1	mol_ID_35	BSQLQMLFTHJVKS-UHFFFAOYSA-N	168.98	10.00	2.00	0.00	0.00	0.00	0.00	2.00	2.00	12.89	1.00	2.95	2.21	0.59	4.21	1.98
Brc1cccnc1	mol_ID_36	NYPYPOZNGOXYSU-UHFFFAOYSA-N	156.95	7.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.84	1.10	0.56	2.10	1.77
C=Cc1ccncc1	mol_ID_37	KFDVPJUYSDEJTH-UHFFFAOYSA-N	105.06	8.00	1.00	0.00	1.00	0.00	0.00	1.00	1.00	12.89	0.00	1.72	0.98	0.53	1.98	2.18
Ic1cncnc1	mol_ID_38	DNWRLMRKDSGSPL-UHFFFAOYSA-N	205.93	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.08	0.34	0.59	1.34	2.96
Ic1cnccn1	mol_ID_39	OYWPFIUVDKHHGQ-UHFFFAOYSA-N	205.93	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.08	0.34	0.59	1.34	3.11
N#Cc1ncc[nH]1	mol_ID_40	QMQZIXCNLUPEIN-UHFFFAOYSA-N	93.03	7.00	2.00	1.00	0.00	0.00	0.00	1.00	1.00	52.47	0.00	0.28	-0.46	0.50	0.54	3.49
Ic1ccn[nH]1	mol_ID_41	RUKDVLFJSMVBLV-UHFFFAOYSA-N	193.93	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.01	0.27	0.61	1.27	3.67
N#Cc1cocn1	mol_ID_42	UEEBKQWDBWDPKD-UHFFFAOYSA-N	94.02	7.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00	49.82	0.00	0.55	-0.19	0.47	0.81	3.64
Brc1nccs1	mol_ID_43	RXNZFHIEDZEUQM-UHFFFAOYSA-N	162.91	6.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.91	1.17	0.57	2.17	3.09
Brc1ccncc1	mol_ID_44	BSDGZUDFPKIYQG-UHFFFAOYSA-N	156.95	7.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.84	1.10	0.56	2.10	2.01
C#Cc1ccccn1	mol_ID_45	NHUBNHMFXQNNMV-UHFFFAOYSA-N	103.04	8.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	0.00	1.06	0.32	0.45	1.32	2.49
N#Cc1ncccn1	mol_ID_46	IIHQNAXFIODVDU-UHFFFAOYSA-N	105.03	8.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00	49.57	0.00	0.35	-0.39	0.48	0.61	2.51
N#Cc1cnccn1	mol_ID_47	PMSVVUSIPKHUMT-UHFFFAOYSA-N	105.03	8.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00	49.57	0.00	0.35	-0.39	0.48	0.61	2.54
N#Cc1c[nH]cn1	mol_ID_48	NWVGXXPWOYZODV-UHFFFAOYSA-N	93.03	7.00	2.00	1.00	0.00	0.00	0.00	1.00	1.00	52.47	0.00	0.28	-0.46	0.50	0.54	3.70
N#Cc1cn[nH]c1	mol_ID_49	NUGZBVBZIDWZAD-UHFFFAOYSA-N	93.03	7.00	2.00	1.00	0.00	0.00	0.00	1.00	1.00	52.47	0.00	0.28	-0.46	0.50	0.54	3.23
C[n+]1cccc(Cl)c1	mol_ID_50	WGUDVGBIIATHCI-UHFFFAOYSA-N	128.03	8.00	0.00	0.00	0.00	0.17	0.00	1.00	1.00	3.88	1.00	1.16	0.42	0.46	1.42	2.86
Brc1cncs1	mol_ID_51	DWUPYMSVAPQXMS-UHFFFAOYSA-N	162.91	6.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.91	1.17	0.57	2.17	3.50
Ic1ccccn1	mol_ID_52	CCZWSTFVHJPCEM-UHFFFAOYSA-N	204.94	7.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.69	0.95	0.46	1.95	2.58
Clc1c[nH]cn1	mol_ID_53	BQRBAXFOPZRMCU-UHFFFAOYSA-N	102.00	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.06	0.32	0.52	1.32	3.66
C[n+]1ccccc1Cl	mol_ID_54	ZNPNOVHKCAAQCG-UHFFFAOYSA-N	128.03	8.00	0.00	0.00	0.00	0.17	0.00	1.00	1.00	3.88	1.00	1.16	0.42	0.36	1.42	2.89
C#CCn1cccn1	mol_ID_55	IQMAASXLMDIWRF-UHFFFAOYSA-N	106.05	8.00	2.00	0.00	1.00	0.17	0.00	1.00	1.00	17.82	0.00	0.52	-0.22	0.48	0.78	2.90
C=Cn1ccnc1	mol_ID_56	OSSNTDFYBPYIEC-UHFFFAOYSA-N	94.05	7.00	2.00	0.00	1.00	0.00	0.00	1.00	1.00	17.82	0.00	0.98	0.24	0.51	1.24	3.44
C=Cn1cccn1	mol_ID_57	NWHSSMRWECHZEP-UHFFFAOYSA-N	94.05	7.00	2.00	0.00	1.00	0.00	0.00	1.00	1.00	17.82	0.00	0.98	0.24	0.51	1.24	3.60
C[n+]1ccc(C#N)cc1	mol_ID_58	NQQUGKKTJLAUHC-UHFFFAOYSA-N	119.06	9.00	1.00	0.00	0.00	0.14	0.00	1.00	1.00	27.67	0.00	0.38	-0.36	0.45	0.64	2.87
Ic1nccs1	mol_ID_59	VAQSRTGFMKWNIH-UHFFFAOYSA-N	210.90	6.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.75	1.01	0.60	2.01	3.50
Ic1cccnc1	mol_ID_60	XDELKSRGBLWMBA-UHFFFAOYSA-N	204.94	7.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.69	0.95	0.59	1.95	2.21
C#Cc1ccncc1	mol_ID_61	FDEDJRHULYIJOR-UHFFFAOYSA-N	103.04	8.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	0.00	1.06	0.32	0.45	1.32	2.39
N#Cc1cncnc1	mol_ID_62	XVIAPHVAGFEFFN-UHFFFAOYSA-N	105.03	8.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00	49.57	0.00	0.35	-0.39	0.48	0.61	2.55
C#Cc1cnccn1	mol_ID_63	GLEJGPDNIJWWQH-UHFFFAOYSA-N	104.04	8.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	0.00	0.46	-0.28	0.45	0.72	3.02
C=Cc1cnc[nH]1	mol_ID_64	MHQZDNQHLGFBRN-UHFFFAOYSA-N	94.05	7.00	1.00	1.00	1.00	0.00	0.00	1.00	1.00	28.68	0.00	1.05	0.31	0.55	1.31	3.37
C=Cc1cn[nH]c1	mol_ID_65	UMRPGBHVNGOFMG-UHFFFAOYSA-N	94.05	7.00	1.00	1.00	1.00	0.00	0.00	1.00	1.00	28.68	0.00	1.05	0.31	0.55	1.31	3.40
Cc1noc(C)c1Cl	mol_ID_66	JTJWPHJWCFVTMS-UHFFFAOYSA-N	131.01	8.00	2.00	0.00	0.00	0.40	0.00	1.00	1.00	26.03	1.00	1.94	1.20	0.54	2.20	2.54
N#Cc1nccs1	mol_ID_67	ZIRGWUZHKJDYKT-UHFFFAOYSA-N	109.99	7.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00	36.68	0.00	1.01	0.27	0.50	1.27	3.18
Ic1ccncc1	mol_ID_68	RTLUPHDWSUGAOS-UHFFFAOYSA-N	204.94	7.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.69	0.95	0.59	1.95	2.32
Clc1ncccn1	mol_ID_69	UNCQVRBWJWWJBF-UHFFFAOYSA-N	114.00	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.13	0.39	0.47	1.39	2.16
C=Cc1ncccn1	mol_ID_70	ZDHWTWWXCXEGIC-UHFFFAOYSA-N	106.05	8.00	2.00	0.00	1.00	0.00	0.00	1.00	1.00	25.78	0.00	1.12	0.38	0.54	1.38	2.94
Clc1ncc[nH]1	mol_ID_71	OCVXSFKKWXMYPF-UHFFFAOYSA-N	102.00	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.06	0.32	0.52	1.32	3.43
C#CCn1ccnc1	mol_ID_72	UGOQKSGJGCADAG-UHFFFAOYSA-N	106.05	8.00	2.00	0.00	1.00	0.17	0.00	1.00	1.00	17.82	0.00	0.52	-0.22	0.48	0.78	3.01
C=Cc1ccn[nH]1	mol_ID_73	YPIINMAYDTYYSQ-UHFFFAOYSA-N	94.05	7.00	1.00	1.00	1.00	0.00	0.00	1.00	1.00	28.68	0.00	1.05	0.31	0.55	1.31	3.43
Cc1noc(C)c1Br	mol_ID_74	GYHZPSUAMYIFQD-UHFFFAOYSA-N	174.96	8.00	2.00	0.00	0.00	0.40	0.00	1.00	1.00	26.03	1.00	2.05	1.31	0.60	2.31	2.60
N#Cc1cncs1	mol_ID_75	XWXPRCDFFCVMNT-UHFFFAOYSA-N	109.99	7.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00	36.68	0.00	1.01	0.27	0.50	1.27	3.40
N#Cc1ccccn1	mol_ID_76	FFNVQNRYTPFDDP-UHFFFAOYSA-N	104.04	8.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	36.68	0.00	0.95	0.21	0.49	1.21	2.06
Clc1ccncn1	mol_ID_77	DBPKMSBWOKAKLA-UHFFFAOYSA-N	114.00	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.13	0.39	0.47	1.39	2.33
C=Cc1cncnc1	mol_ID_78	HXXVIKZQIFTJOQ-UHFFFAOYSA-N	106.05	8.00	2.00	0.00	1.00	0.00	0.00	1.00	1.00	25.78	0.00	1.12	0.38	0.54	1.38	2.72
Cn1cc(I)c[n+]1C	mol_ID_79	CGKJVNDEOWHROX-UHFFFAOYSA-N	222.97	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.45	-0.29	0.45	0.71	4.28
Cn1cc[n+](C)c1Br	mol_ID_80	BVUQSVSAXBSDPG-UHFFFAOYSA-N	174.99	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.61	-0.13	0.51	0.87	3.90
Cn1cc(Br)[n+](C)c1	mol_ID_81	RBANULMALHFXIH-UHFFFAOYSA-N	174.99	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.61	-0.13	0.51	0.87	4.18
Cc1noc(C)c1I	mol_ID_82	NMNOXVWRJISEFE-UHFFFAOYSA-N	222.95	8.00	2.00	0.00	0.00	0.40	0.00	1.00	1.00	26.03	1.00	1.90	1.16	0.63	2.16	3.03
C=Cc1nccs1	mol_ID_83	JDCUKFVNOWJNBU-UHFFFAOYSA-N	111.01	7.00	2.00	0.00	1.00	0.00	0.00	1.00	1.00	12.89	0.00	1.79	1.05	0.54	2.05	3.24
C=Cc1cncs1	mol_ID_84	SZMYFESRCUFULU-UHFFFAOYSA-N	111.01	7.00	2.00	0.00	1.00	0.00	0.00	1.00	1.00	12.89	0.00	1.79	1.05	0.54	2.05	3.52
C#Cc1nccs1	mol_ID_85	CDFUVXUAFYQGMT-UHFFFAOYSA-N	109.00	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	0.00	1.12	0.38	0.45	1.38	3.45
C#Cc1cncs1	mol_ID_86	JWFJFVXHZUVMSF-UHFFFAOYSA-N	109.00	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	0.00	1.12	0.38	0.45	1.38	3.73
Clc1nc2ccccc2o1	mol_ID_87	BBVQDWDBTWSGHQ-UHFFFAOYSA-N	153.00	10.00	2.00	0.00	0.00	0.00	0.00	2.00	2.00	26.03	1.00	2.48	1.74	0.58	3.74	2.20
C[n+]1ccccc1C#N	mol_ID_89	QCKQICVQNDDMCF-UHFFFAOYSA-N	119.06	9.00	1.00	0.00	0.00	0.14	0.00	1.00	1.00	27.67	0.00	0.38	-0.36	0.45	0.64	3.27
C#Cc1nccn1C	mol_ID_91	BDHWWGOWOGACLG-UHFFFAOYSA-N	106.05	8.00	2.00	0.00	0.00	0.17	0.00	1.00	1.00	17.82	0.00	0.40	-0.34	0.44	0.66	3.37
Ic1nc(-c2ccccc2)co1	mol_ID_92	QMZJDMNRLIZTAI-UHFFFAOYSA-N	270.95	12.00	2.00	0.00	1.00	0.00	0.00	2.00	2.00	26.03	1.00	2.95	2.21	0.75	4.21	2.47
C#Cc1ccc[n+](C)c1	mol_ID_93	YKZVUUJLOGTEQT-UHFFFAOYSA-N	118.07	9.00	0.00	0.00	0.00	0.12	0.00	1.00	1.00	3.88	0.00	0.49	-0.25	0.34	0.75	3.38
C[n+]1cccc(Br)c1	mol_ID_94	HETQOWPCHKBEFO-UHFFFAOYSA-N	171.98	8.00	0.00	0.00	0.00	0.17	0.00	1.00	1.00	3.88	1.00	1.27	0.53	0.52	1.53	2.98
C[n+]1ccc(Br)cc1	mol_ID_95	ASOWJZPNLMTBRG-UHFFFAOYSA-N	171.98	8.00	0.00	0.00	0.00	0.17	0.00	1.00	1.00	3.88	1.00	1.27	0.53	0.52	1.53	3.07
C[n+]1ccc(I)cc1	mol_ID_96	CMNPLPHOVMUCLQ-UHFFFAOYSA-N	219.96	8.00	0.00	0.00	0.00	0.17	0.00	1.00	1.00	3.88	1.00	1.12	0.38	0.46	1.38	3.29
C[n+]1cccc(C#N)c1	mol_ID_97	YPQVJNCIBVIPOK-UHFFFAOYSA-N	119.06	9.00	1.00	0.00	0.00	0.14	0.00	1.00	1.00	27.67	0.00	0.38	-0.36	0.45	0.64	3.01
C[n+]1ccnc(I)c1	mol_ID_98	CXFJZYUMQXIIQM-UHFFFAOYSA-N	220.96	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.51	-0.23	0.46	0.77	4.04
C[n+]1ccnc(Br)c1	mol_ID_99	QUHHCIRUCADWJO-UHFFFAOYSA-N	172.97	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.67	-0.07	0.53	0.93	3.74
C[n+]1ccccc1Br	mol_ID_100	ZUHZWFGTRURCNC-UHFFFAOYSA-N	171.98	8.00	0.00	0.00	0.00	0.17	0.00	1.00	1.00	3.88	1.00	1.27	0.53	0.41	1.53	3.14
C#Cc1c[n+](C)ccn1	mol_ID_101	FFUABMBEXGAHFH-UHFFFAOYSA-N	119.06	9.00	1.00	0.00	0.00	0.14	0.00	1.00	1.00	16.77	0.00	-0.11	-0.85	0.34	0.15	3.90
C=Cc1cnc[n+](C)c1	mol_ID_102	OBLNDKIKUUIFBM-UHFFFAOYSA-N	121.08	9.00	1.00	0.00	1.00	0.14	0.00	1.00	1.00	16.77	0.00	0.55	-0.19	0.50	0.81	3.82
C[n+]1cncc(Br)c1	mol_ID_103	KFAKEMDBMUVYCL-UHFFFAOYSA-N	172.97	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.67	-0.07	0.53	0.93	3.87
Cn1cc[n+](C)c1Cl	mol_ID_104	LHTLRZAQHITLCY-UHFFFAOYSA-N	131.04	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.50	-0.24	0.45	0.76	3.78
C#Cc1cc[n+](C)n1C	mol_ID_105	KQIINLALKVYVSD-UHFFFAOYSA-N	121.08	9.00	1.00	0.00	0.00	0.29	0.00	1.00	1.00	8.81	0.00	-0.17	-0.91	0.33	0.09	4.36
C=Cc1cc[n+](C)n1C	mol_ID_106	RGGYXESXCZRPIW-UHFFFAOYSA-N	123.09	9.00	1.00	0.00	1.00	0.29	0.00	1.00	1.00	8.81	0.00	0.49	-0.25	0.48	0.75	4.20
Cn1c(Br)cc[n+]1C	mol_ID_107	FJXDSYCGPUWXNR-UHFFFAOYSA-N	174.99	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.61	-0.13	0.51	0.87	4.11
C=Cc1cccc[n+]1C	mol_ID_108	DTJIKSRARSRPBU-UHFFFAOYSA-N	120.08	9.00	0.00	0.00	1.00	0.12	0.00	1.00	1.00	3.88	0.00	1.15	0.41	0.49	1.41	3.10
C[n+]1ccc(C#N)nc1	mol_ID_109	KGRDEPIDYWNXIV-UHFFFAOYSA-N	120.06	9.00	2.00	0.00	0.00	0.17	0.00	1.00	1.00	40.56	0.00	-0.22	-0.96	0.44	0.04	3.64
C=Cc1ccc[n+](C)c1	mol_ID_110	WVZHSQIASVAADH-UHFFFAOYSA-N	120.08	9.00	0.00	0.00	1.00	0.12	0.00	1.00	1.00	3.88	0.00	1.15	0.41	0.49	1.41	3.08
Cn1cc(I)[n+](C)c1	mol_ID_111	FYOQFGVOCZGIRH-UHFFFAOYSA-N	222.97	8.00	1.00	0.00	0.00	0.40	0.00	1.00	1.00	8.81	1.00	0.45	-0.29	0.45	0.71	4.34
C=Cc1cc[n+](C)cc1	mol_ID_112	AJWDVSJQPIRAKK-UHFFFAOYSA-N	120.08	9.00	0.00	0.00	1.00	0.12	0.00	1.00	1.00	3.88	0.00	1.15	0.41	0.49	1.41	2.97
C[n+]1ccnc(C#N)c1	mol_ID_113	MMAPITDUIFJZAW-UHFFFAOYSA-N	120.06	9.00	2.00	0.00	0.00	0.17	0.00	1.00	1.00	40.56	0.00	-0.22	-0.96	0.44	0.04	3.61
C#Cc1cccc[n+]1C	mol_ID_114	KTTGUZOLWPMJBL-UHFFFAOYSA-N	118.07	9.00	0.00	0.00	0.00	0.12	0.00	1.00	1.00	3.88	0.00	0.49	-0.25	0.34	0.75	3.54
C#Cc1nccc[n+]1C	mol_ID_115	OHWQEFJZXKFNON-UHFFFAOYSA-N	119.06	9.00	1.00	0.00	0.00	0.14	0.00	1.00	1.00	16.77	0.00	-0.11	-0.85	0.34	0.15	3.99
C[n+]1cccc(I)c1	mol_ID_116	MVBDRXROBNCUDL-UHFFFAOYSA-N	219.96	8.00	0.00	0.00	0.00	0.17	0.00	1.00	1.00	3.88	1.00	1.12	0.38	0.46	1.38	3.26
C[n+]1cncc(C#N)c1	mol_ID_117	ILLPNUNDXJGWBW-UHFFFAOYSA-N	120.06	9.00	2.00	0.00	0.00	0.17	0.00	1.00	1.00	40.56	0.00	-0.22	-0.96	0.44	0.04	3.77
Cn1cc(C#N)[n+](C)c1	mol_ID_118	OFIDDJQZAXVXPA-UHFFFAOYSA-N	122.07	9.00	2.00	0.00	0.00	0.33	0.00	1.00	1.00	32.60	0.00	-0.28	-1.02	0.44	-0.02	4.21
C[n+]1ccoc1I	mol_ID_119	RHXVRVWMOMYZMS-UHFFFAOYSA-N	209.94	7.00	1.00	0.00	0.00	0.25	0.00	1.00	1.00	17.02	1.00	0.71	-0.03	0.45	0.97	4.48
C#Cc1cc[n+](C)cc1	mol_ID_120	WXYZEVYJGPBUNG-UHFFFAOYSA-N	118.07	9.00	0.00	0.00	0.00	0.12	0.00	1.00	1.00	3.88	0.00	0.49	-0.25	0.34	0.75	3.23
C[n+]1cccnc1Cl	mol_ID_121	QZLUCAPHRNBQKI-UHFFFAOYSA-N	129.02	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.56	-0.18	0.37	0.82	3.51
C[n+]1ccnc(Cl)c1	mol_ID_122	CNKAQRKQLVLFRP-UHFFFAOYSA-N	129.02	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.56	-0.18	0.47	0.82	3.55
C[n+]1cncc(Cl)c1	mol_ID_123	YGAUGAUSUDDRSL-UHFFFAOYSA-N	129.02	8.00	1.00	0.00	0.00	0.20	0.00	1.00	1.00	16.77	1.00	0.56	-0.18	0.47	0.82	3.82
